DrugBank ID,Common name,Synonyms,cmpdname,canonicalsmiles,cid
DB04688,Methylecgonine,Ecgonine methyl ester,Methylecgonine,,
DB04689,2-{5-[3-(6-BENZOYL-1-PROPYLNAPHTHALEN-2-YLOXY)PROPOXY]INDOL-1-YL}ETHANOIC ACID,,2-{5-[3-(6-BENZOYL-1-PROPYLNAPHTHALEN-2-YLOXY)PROPOXY]INDOL-1-YL}ETHANOIC ACID,,
DB04691,2'-O-[1-ethyl-1H-imidazol)] thymidine-5'-monophosphate,,2'-O-[1-ethyl-1H-imidazol)] thymidine-5'-monophosphate,,
DB04692,Ethyl (2E)-4-({(2S)-2-[(N-{[(2-methyl-2-propanyl)oxy]carbonyl}-L-valyl)amino]-2-phenylacetyl}amino)-5-[(3S)-2-oxo-3-pyrrolidinyl]-2-pentenoate,,Ethyl (2E)-4-({(2S)-2-[(N-{[(2-methyl-2-propanyl)oxy]carbonyl}-L-valyl)amino]-2-phenylacetyl}amino)-5-[(3S)-2-oxo-3-pyrrolidinyl]-2-pentenoate,,
DB04693,"Estrane-3,17-dione","(5alpha)-Estrane-3,17-dione | Estrane-3,17-dione","Estrane-3,17-dione",,
DB04694,"2,6-anhydro-3-deoxy-3-fluoronononic acid",3-deoxy-3-fluoro-D-erythro-α-L-manno-non-2-ulopyranosonic acid,"2,6-anhydro-3-deoxy-3-fluoronononic acid",,
DB04695,Farnesyl thiopyrophosphate,Farnesyl thiodiphosphate,Farnesyl thiopyrophosphate,,
DB04696,"4-CHLORO-3',3''-DIBROMOPHENOL-1,8-NAPHTHALEIN",,"4-CHLORO-3',3''-DIBROMOPHENOL-1,8-NAPHTHALEIN",,
DB04697,TRANS-4-(GUANIDINOMETHYL)-CYCLOHEXANE-L-YL-D-3-CYCLOHEXYLALANYL-L-AZETIDINE-2-YL-D-TYROSINYL-L-HOMOARGININAMIDE,,TRANS-4-(GUANIDINOMETHYL)-CYCLOHEXANE-L-YL-D-3-CYCLOHEXYLALANYL-L-AZETIDINE-2-YL-D-TYROSINYL-L-HOMOARGININAMIDE,,
DB04698,"N-(1,4-dihydro-5H-tetrazol-5-ylidene)-9-oxo-9H-xanthene-2-sulfonamide",9-Oxo-N-(2H-tetrazol-5-yl)-9H-xanthene-2-sulfonamide,"N-(1,4-dihydro-5H-tetrazol-5-ylidene)-9-oxo-9H-xanthene-2-sulfonamide",,
DB04699,gamma-Butyrolactone,"1,4-lactone | 4-butyrolactone | 4-hydroxybutyric acid lactone | butyrolactone | dihydrofuran-2(3h)-one | GBL | γ-butyrolactone",gamma-Butyrolactone,,
DB04700,GLUTATHIONE SULFINATE,,GLUTATHIONE SULFINATE,,
DB04701,S-Methyl glutathione,Glutathione ester | Glutathione S-methyl ester | L-gamma-Glutamyl-S-methyl-L-cysteinylglycine,S-Methyl glutathione,,
DB04702,"S-[(2E)-3,7-DIMETHYLOCTA-2,6-DIENYL] TRIHYDROGENTHIODIPHOSPHATE",,"S-[(2E)-3,7-DIMETHYLOCTA-2,6-DIENYL] TRIHYDROGENTHIODIPHOSPHATE",,
DB04703,Hesperidin,(S)-(−)-hesperidin | Cirantin | Ciratin | Hesperetin 7-O-rutinoside | Hesperidin | Hesperidina | Hesperidoside,Hesperidin,,
DB04704,20-hydroxycholesterol,,20-hydroxycholesterol,,
DB04705,25-Hydroxycholesterol,"5-Cholestene-3beta,25-diol | Cholest-5-ene-3beta,25-diol",25-Hydroxycholesterol,,
DB04706,7beta-hydroxycholesterol,"(3β,7β)-cholest-5-ene-3,7-diol | 7β-hydroxycholesterol",7beta-hydroxycholesterol,,
DB04707,Hydroxyfasudil,Hydroxy-fasudil,Hydroxyfasudil,,
DB04708,"(S)-TETRAHYDROFURAN-3-YL (2S,3S)-4-((S)-4-((1R,3R)-3-(2-AMINO-2-OXOETHYL)-2,3-DIHYDRO-1H-INDEN-1-YL)-2-BENZYL-3-OXO-2,3-DIHYDRO-1H-PYRROL-2-YL)-3-HYDROXY-1-PHENYLBUTAN-2-YLCARBAMATE",,"(S)-TETRAHYDROFURAN-3-YL (2S,3S)-4-((S)-4-((1R,3R)-3-(2-AMINO-2-OXOETHYL)-2,3-DIHYDRO-1H-INDEN-1-YL)-2-BENZYL-3-OXO-2,3-DIHYDRO-1H-PYRROL-2-YL)-3-HYDROXY-1-PHENYLBUTAN-2-YLCARBAMATE",,
DB04709,"(3AALPHA,4ALPHA,7ALPHA,7AALPHA)- 3A,4,7,7A-TETRAHYDRO-2-(4-NITRO-1-NAPHTHALENYL)-4,7-ETHANO-1H-ISOINDOLE-1,3(2H)-DIONE",,"(3AALPHA,4ALPHA,7ALPHA,7AALPHA)- 3A,4,7,7A-TETRAHYDRO-2-(4-NITRO-1-NAPHTHALENYL)-4,7-ETHANO-1H-ISOINDOLE-1,3(2H)-DIONE",,
DB04710,(E)-(S)-4-[(S)-4-METHYL-2-((S)-3-METHYL-2{(S)-2-[(5-METHYL-ISOXAZOLE-3- CARBONYL)-AMINO]-PROPIONYLAMINO}-BUTYRYLAMINO)-PENTANOYLAMINO]-5-((S)-2- OXO-PYRROLIDIN-3-YL)-PENT-2-ENOIC ACID ETHYL ESTER,,(E)-(S)-4-[(S)-4-METHYL-2-((S)-3-METHYL-2{(S)-2-[(5-METHYL-ISOXAZOLE-3- CARBONYL)-AMINO]-PROPIONYLAMINO}-BUTYRYLAMINO)-PENTANOYLAMINO]-5-((S)-2- OXO-PYRROLIDIN-3-YL)-PENT-2-ENOIC ACID ETHYL ESTER,,
DB04711,Iodipamide,"3,3'-(adipoyldiimino)bis(2,4,6-triiodobenzoic acid) | Adipiodona | Adipiodone | Adipiodonum | Iodipamide",Iodipamide,,
DB04712,ANILINOMETHYL GLUCO-PHENYLIMIDAZOLE,,ANILINOMETHYL GLUCO-PHENYLIMIDAZOLE,,
DB04713,4-Iodo-D-phenylalanine,D-p-Iodophenylalanine,4-Iodo-D-phenylalanine,,
DB04714,ISOPENTENYL PYROPHOSPHATE,,ISOPENTENYL PYROPHOSPHATE,,
DB04715,IMIDAZOPYRIDAZIN 1,,IMIDAZOPYRIDAZIN 1,,
DB04716,"2-tert-butyl-9-fluoro-1,6-dihydrobenzo[h]imidazo[4,5-f]isoquinolin-7-one",CMP 6 | Pyridone 6,"2-tert-butyl-9-fluoro-1,6-dihydrobenzo[h]imidazo[4,5-f]isoquinolin-7-one",,
DB04717,2''-O-[N-(3-(aminopropyl)2-aminoethyl]paromomycin,,2''-O-[N-(3-(aminopropyl)2-aminoethyl]paromomycin,,
DB04718,"(1R,2R,3S,4R,6S)-4,6-diamino-2-{[3-O-(2,6-diamino-2,6-dideoxy-beta-L-idopyranosyl)-2-O-{2-[(piperidin-3-ylmethyl)amino]ethyl}-beta-D-ribofuranosyl]oxy}-3-hydroxycyclohexyl 2-amino-2-deoxy-alpha-D-glucopyranoside","(1R,2R,3S,4R,6S)-4,6-diamino-2-{[3-O-(2,6-diamino-2,6-dideoxy-β-L-idopyranosyl)-2-O-{2-[(piperidin-3-ylmethyl)amino]ethyl}-β-D-ribofuranosyl]oxy}-3-hydroxycyclohexyl 2-amino-2-deoxy-α-D-glucopyranoside","(1R,2R,3S,4R,6S)-4,6-diamino-2-{[3-O-(2,6-diamino-2,6-dideoxy-beta-L-idopyranosyl)-2-O-{2-[(piperidin-3-ylmethyl)amino]ethyl}-beta-D-ribofuranosyl]oxy}-3-hydroxycyclohexyl 2-amino-2-deoxy-alpha-D-glucopyranoside",,
DB04719,"DIMETHYL-(4,5,6,7-TETRABROMO-1H-BENZOIMIDAZOL-2-YL)-AMINE",,"DIMETHYL-(4,5,6,7-TETRABROMO-1H-BENZOIMIDAZOL-2-YL)-AMINE",,
DB04720,"S-METHYL-4,5,6,7-TETRABROMO-BENZIMIDAZOLE",,"S-METHYL-4,5,6,7-TETRABROMO-BENZIMIDAZOLE",,
DB04721,"N1,N2-ETHYLENE-2-METHYLAMINO-4,5,6,7-TETRABROMO-BENZIMIDAZOLE",,"N1,N2-ETHYLENE-2-METHYLAMINO-4,5,6,7-TETRABROMO-BENZIMIDAZOLE",,
DB04722,"2-[3-chloro-6-[2,2-difluoro-2-(1-oxidopyridin-1-ium-2-yl)ethyl]imino-1-hydroxypyridin-2-yl]-N-[(1R)-1-(3-chlorophenyl)ethyl]acetamide",,"2-[3-chloro-6-[2,2-difluoro-2-(1-oxidopyridin-1-ium-2-yl)ethyl]imino-1-hydroxypyridin-2-yl]-N-[(1R)-1-(3-chlorophenyl)ethyl]acetamide",,
DB04723,2-(3-GUANIDINOPHENYL)-3-MERCAPTOPROPANOIC ACID,,2-(3-GUANIDINOPHENYL)-3-MERCAPTOPROPANOIC ACID,,
DB04724,"(S)-2-((S)-3-isobutyl-2,5-dioxo-4-quinolin-3-ylmethyl-[1,4]diazepan-1yl)-N-methyl-3-naphtalen-2-yl-propionamide",,"(S)-2-((S)-3-isobutyl-2,5-dioxo-4-quinolin-3-ylmethyl-[1,4]diazepan-1yl)-N-methyl-3-naphtalen-2-yl-propionamide",,
DB04725,Licofelone,Licofelone,Licofelone,,
DB04726,Lumiflavin,"7,8,10-Trimethylbenzo(g)pteridine-2,4(3H,10H)-dione | 7,8,10-Trimethylisoalloxazine | Lumiflavin | Lumiflavine",Lumiflavin,,
DB04727,"1-{4-[4-Amino-6-(4-methoxyphenyl)furo[2,3-d]pyrimidin-5-yl]phenyl}-3-[2-fluoro-5-(trifluoromethyl)phenyl]urea",,"1-{4-[4-Amino-6-(4-methoxyphenyl)furo[2,3-d]pyrimidin-5-yl]phenyl}-3-[2-fluoro-5-(trifluoromethyl)phenyl]urea",,
DB04728,Lividomycin A,lividomicina,Lividomycin A,,
DB04729,Gentamicin C1a,Gentamycin C12,Gentamicin C1a,,
DB04731,1-ACETYL-2-LYSO-SN-GLYCERO-3-PHOSPHOETHANOLAMINE,,1-ACETYL-2-LYSO-SN-GLYCERO-3-PHOSPHOETHANOLAMINE,,
DB04732,N-(4-MORPHOLINE)CARBONYL-B-(1-NAPHTHYL)-L-ALANINE-L-LEUCINE BORONIC ACID,,N-(4-MORPHOLINE)CARBONYL-B-(1-NAPHTHYL)-L-ALANINE-L-LEUCINE BORONIC ACID,,
DB04733,"1,6-DI-O-PHOSPHONO-D-MANNITOL",,"1,6-DI-O-PHOSPHONO-D-MANNITOL",,
DB04734,Citraconic acid,(Z)-2-Methyl-2-butenedioic acid | 2-Methyl-2-butenedioic acid | 2-methylmaleic acid | cis-2-methylbutenedioic acid | cis-Methylbutenedioic acid | citraconate | Citraconsäure | Methyl-maleinsäure | Methylmaleic acid | α-methylmaleic acid,Citraconic acid,,
DB04735,Monogalactosyldiacylglycerol,"3-beta-D-Galactosyl-1,2-diacylglycerol | D-Galactosyldiacylglycerol | MGDG | Monogalactosyl-diacylglycerol",Monogalactosyldiacylglycerol,,
DB04736,"2-ACETAMIDO-2-DEOXY-BETA-D-GLUCOPYRANOSE(BETA1-4)-2-ACETAMIDO-1,6-ANHYDRO-3-O-[(R)-1-CARBOXYETHYL]-2-DEOXY-BETA-D-GLUCOPYRANOSE-L-ALANYL-GAMMA-D-GLUTAMYL-MESO-DIAMINOPIMELYL-D-ALANINE",,"2-ACETAMIDO-2-DEOXY-BETA-D-GLUCOPYRANOSE(BETA1-4)-2-ACETAMIDO-1,6-ANHYDRO-3-O-[(R)-1-CARBOXYETHYL]-2-DEOXY-BETA-D-GLUCOPYRANOSE-L-ALANYL-GAMMA-D-GLUTAMYL-MESO-DIAMINOPIMELYL-D-ALANINE",,
DB04737,(S)-mandelonitrile,(−)-mandelonitrile | (S)-(−)-mandelonitrile | (S)-Benzaldehyde cyanohydrin | l-mandelonitrile,(S)-mandelonitrile,,
DB04738,Motuporin,(-)-Motuporin | Nodularin V,Motuporin,,
DB04739,4-[(4-METHYL-1-PIPERAZINYL)METHYL]-N-[3-[[4-(3-PYRIDINYL)-2-PYRIMIDINYL]AMINO]PHENYL]-BENZAMIDE,,4-[(4-METHYL-1-PIPERAZINYL)METHYL]-N-[3-[[4-(3-PYRIDINYL)-2-PYRIMIDINYL]AMINO]PHENYL]-BENZAMIDE,,
DB04740,Moxalactam (hydrolyzed),,Moxalactam (hydrolyzed),,
DB04741,Myxothiazol,(+)-myxothiazol | Myxothiazol A,Myxothiazol,,
DB04742,"(2R)-2-{(1R)-2-oxo-1-[(2-thienylacetyl)amino]ethyl}-5,6-dihydro-2h-1,3-thiazine-4-carboxylic acid",,"(2R)-2-{(1R)-2-oxo-1-[(2-thienylacetyl)amino]ethyl}-5,6-dihydro-2h-1,3-thiazine-4-carboxylic acid",,
DB04743,Nimesulide,Nimesulida | Nimesulide | Nimesulidum,Nimesulide,,
DB04744,Lawsone,"2-hydroxy-1,4-naphthalenedione | 2-hydroxy-1,4-naphthoquinone | 2-hydroxynaphthoquinone | Lawsone",Lawsone,,
DB04745,2-Hydroxyquinoline,2-quinolone | 2(1H)-Quinolinone | Carbostyril | o-Aminocinnamic acid lactam | Quinolin-2-ol | Quinolin-2(1H)-one | α-Quinolone,2-Hydroxyquinoline,,
DB04746,"(10E,12Z)-octadecadienoic acid","(10E,12Z)-octadeca-10,12-dienoic acid | (E,Z)-octadeca-10,12-dienoic acid | 10-trans-12-cis-CLA | 10-trans-12-cis-conjugated linoleic acid | 10-trans-12-cis-linoleic acid | 10-trans-12-cis-octadecadienoic acid | 10,12-trans,cis-octadecanoic acid | C18:2, n-6,8 cis,trans","(10E,12Z)-octadecadienoic acid",,
DB04747,11-TRANS-13-TRANS-15-CIS-OCTADECATRIENOIC ACID,,11-TRANS-13-TRANS-15-CIS-OCTADECATRIENOIC ACID,,
DB04748,OXIMINOARYLSULFONAMIDE,,OXIMINOARYLSULFONAMIDE,,
DB04749,2-(3-OXO-PROPYLSULFANYLCARBONYL)-ETHANETHIOLATE,,2-(3-OXO-PROPYLSULFANYLCARBONYL)-ETHANETHIOLATE,,
DB04750,OREGON GREEN 488 CARBOXYLATE,,OREGON GREEN 488 CARBOXYLATE,,
DB04751,Purvalanol A,2-(1R-Isopropyl-2-hydroxyethylamino)-6-(3-chloroanilino)-9-isopropylpurine | Purv,Purvalanol A,,
DB04752,Phosphatidyl ethanol,PEth,Phosphatidyl ethanol,,
DB04753,"9-DEAZAINOSINE-2',3'-O-ETHYLIDENEPHOSPHONATE",,"9-DEAZAINOSINE-2',3'-O-ETHYLIDENEPHOSPHONATE",,
DB04754,"GUANOSINE-2',3'-O-ETHYLIDENEPHOSPHONATE",,"GUANOSINE-2',3'-O-ETHYLIDENEPHOSPHONATE",,
DB04755,PROPYL-1-PHOSPHATE,,PROPYL-1-PHOSPHATE,,
DB04756,"2-[(3,5-Dichloro-4-trioxidanylphenyl)amino]benzoic acid",,"2-[(3,5-Dichloro-4-trioxidanylphenyl)amino]benzoic acid",,
DB04757,"GUANOSINE-2',3'-O-METHYLIDENEPHOSPHONATE",,"GUANOSINE-2',3'-O-METHYLIDENEPHOSPHONATE",,
DB04758,2-[2-ETHANESULFONYLAMINO-3-(1H-INDOL-3-YL)-PROPIONYLAMINO]-PENTANEDIOIC ACID 5-AMIDE 1-(4-CARBAMIM IDOYL-BENZYLAMIDE),,2-[2-ETHANESULFONYLAMINO-3-(1H-INDOL-3-YL)-PROPIONYLAMINO]-PENTANEDIOIC ACID 5-AMIDE 1-(4-CARBAMIM IDOYL-BENZYLAMIDE),,
DB04759,"PYRIMIDINE-4,6-DICARBOXYLIC ACID BIS-(3-METHYL-BENZYLAMIDE)",,"PYRIMIDINE-4,6-DICARBOXYLIC ACID BIS-(3-METHYL-BENZYLAMIDE)",,
DB04760,"PYRIMIDINE-4,6-DICARBOXYLIC ACID BIS-(4-FLUORO-3-METHYL-BENZYLAMIDE)",,"PYRIMIDINE-4,6-DICARBOXYLIC ACID BIS-(4-FLUORO-3-METHYL-BENZYLAMIDE)",,
DB04761,"PYRIMIDINE-4,6-DICARBOXYLIC ACID BIS-[(PYRIDIN-3-YLMETHYL)-AMIDE]",,"PYRIMIDINE-4,6-DICARBOXYLIC ACID BIS-[(PYRIDIN-3-YLMETHYL)-AMIDE]",,
DB04762,N-PYRIDOXYL-D-GLUTAMIC ACID-5'-MONOPHOSPHATE,,N-PYRIDOXYL-D-GLUTAMIC ACID-5'-MONOPHOSPHATE,,
DB04763,"1-N-(4-SULFAMOYLPHENYL-ETHYL)-2,4,6-TRIMETHYLPYRIDINIUM",,"1-N-(4-SULFAMOYLPHENYL-ETHYL)-2,4,6-TRIMETHYLPYRIDINIUM",,
DB04764,[4-(3-AMINOMETHYL-PHENYL)-PIPERIDIN-1-YL]-(5-PHENETHYL- PYRIDIN-3-YL)-METHANONE,,[4-(3-AMINOMETHYL-PHENYL)-PIPERIDIN-1-YL]-(5-PHENETHYL- PYRIDIN-3-YL)-METHANONE,,
DB04765,N-PYRIDOXYL-2-METHYL-L-GLUTAMIC ACID-5'-MONOPHOSPHATE,,N-PYRIDOXYL-2-METHYL-L-GLUTAMIC ACID-5'-MONOPHOSPHATE,,
DB04767,N-[1-(4-CARBAMIMIDOYL-BENZYLCARBAMOYL)-3-METHYLSULFANYL-PROPYL]-3-HYDROXY-2-PROPOXYAMINO-BUTYRAMID,,N-[1-(4-CARBAMIMIDOYL-BENZYLCARBAMOYL)-3-METHYLSULFANYL-PROPYL]-3-HYDROXY-2-PROPOXYAMINO-BUTYRAMID,,
DB04768,Pyrithiamine Pyrophosphate,,Pyrithiamine Pyrophosphate,,
DB04770,"O6-(R)-ROSCOVITINE, R-2-(6-BENZYLOXY-9-ISOPROPYL-9H-PURIN-2-YLAMINO)-BUTAN-1-OL",,"O6-(R)-ROSCOVITINE, R-2-(6-BENZYLOXY-9-ISOPROPYL-9H-PURIN-2-YLAMINO)-BUTAN-1-OL",,
DB04771,1-GUANIDINO-4-(N-NITRO-BENZOYLAMINO-L-LEUCYL-L-PROLYLAMINO)BUTANE,,1-GUANIDINO-4-(N-NITRO-BENZOYLAMINO-L-LEUCYL-L-PROLYLAMINO)BUTANE,,
DB04772,1-GUANIDINO-4-(N-PHENYLMETHANESULFONYL-L-LEUCYL-L-PROLYLAMINO)BUTANE,,1-GUANIDINO-4-(N-PHENYLMETHANESULFONYL-L-LEUCYL-L-PROLYLAMINO)BUTANE,,
DB04773,METHYL (3R)-3-{[(3R)-3-{[(3R)-3-HYDROXYBUTANOYL]OXY}BUTANOYL]OXY}BUTANOATE,,METHYL (3R)-3-{[(3R)-3-{[(3R)-3-HYDROXYBUTANOYL]OXY}BUTANOYL]OXY}BUTANOATE,,
DB04774,Reidispongiolide A,,Reidispongiolide A,,
DB04775,Reidispongiolide C,,Reidispongiolide C,,
DB04776,(2R)-2-({6-[benzyl(methyl)amino]-9-isopropyl-9H-purin-2-yl}amino)butan-1-ol,(2R)-2-({6-[Benzyl(methyl)amino]-9-isopropyl-9H-purin-2-yl}amino)-1-butanol | Aftin-4,(2R)-2-({6-[benzyl(methyl)amino]-9-isopropyl-9H-purin-2-yl}amino)butan-1-ol,,
DB04777,(R)-4-Nitrostyrene oxide,(2R)-2-(4-nitrophenyl)oxirane,(R)-4-Nitrostyrene oxide,,
DB04778,SC45647,,SC45647,,
DB04779,ETHYL (1E)-2-PHENYL-N-(SULFOOXY)ETHANIMIDOTHIOATE,,ETHYL (1E)-2-PHENYL-N-(SULFOOXY)ETHANIMIDOTHIOATE,,
DB04780,Sulfatide,2-hydroxytetracosanoyl sulfatide | 2-hydroxytetracosanoylgalactosylceramide sulfate,Sulfatide,,
DB04781,5-hydroxyvaleric acid,4-oxy-butan-carbonsäure | 5-hydroxy-pentansäure | 5-hydroxypentanoic acid | delta-hydroxypentanoic acid | delta-hydroxyvaleric acid,5-hydroxyvaleric acid,,
DB04782,(S)-4-Nitrostyrene oxide,(2S)-2-(4-nitrophenyl)oxirane,(S)-4-Nitrostyrene oxide,,
DB04783,Sphinxolide B,,Sphinxolide B,,
DB04784,(R)-1-phenylethanol,(1R)-1-phenylethanol | (R)-alpha-methylbenzenemethanol | (R)-alpha-methylbenzyl alcohol | (R)-α-methylbenzenemethanol | (R)-α-methylbenzyl alcohol,(R)-1-phenylethanol,,
DB04785,Streptolydigin,Afragilimycin A | Portamycin,Streptolydigin,,
DB04786,Suramin,Suramin | Suramine,Suramin,,
DB04787,Tanaproget,Tanaproget,Tanaproget,,
DB04788,Tagetitoxin,"(1R,4R,5R,6R,7S,8R)-6-Acetoxy-7-amino-4-carbamoyl-4-hydroxy-8-(phosphonooxy)-9-oxa-3-thiabicyclo[3.3.1]nonane-1-carboxylic acid",Tagetitoxin,,
DB04789,5-methyltetrahydrofolic acid,"5-Methyl-5,6,7,8-tetrahydrofolic acid | 5-Methyl-5,6,7,8-tetrahydropteroyl-L-glutamic acid | 5-Methyltetrahydropteroyl monoglutamate | 5-Methyltetrahydropteroylglutamic acid | N-Methyltetrahydrofolate | N-Methyltetrahydrofolic acid | N5-Methyltetrahydrofolate | N5-Methyltetrahydrofolic acid | N5-Methyltetrahydropteroylglutamate",5-methyltetrahydrofolic acid,,
DB04790,"2,5-bis-O-{3-[amino(imino)methyl]phenyl}-1,4:3,6-dianhydro-D-glucitol","1,4:3,6-Dianhydro-2,5-bis-O-(3-carbamimidoylphenyl)-D-glucitol","2,5-bis-O-{3-[amino(imino)methyl]phenyl}-1,4:3,6-dianhydro-D-glucitol",,
DB04791,"2-O-(4'-AMIDINOPHENYL)-5-O-(3''-AMIDINOPHENYL)-1,4:3,6-DIANHYDRO-D-SORBITOL",,"2-O-(4'-AMIDINOPHENYL)-5-O-(3''-AMIDINOPHENYL)-1,4:3,6-DIANHYDRO-D-SORBITOL",,
DB04792,"2,5-O,O-BIS-{4',4''-AMIDINOPHENYL}-1,4:3,6-DIANHYDRO-D-SORBITOL",,"2,5-O,O-BIS-{4',4''-AMIDINOPHENYL}-1,4:3,6-DIANHYDRO-D-SORBITOL",,
DB04793,"1,4:3,6-Dianhydro-2-O-(3-carbamimidoylphenyl)-5-O-(4-carbamimidoylphenyl)-D-glucitol",,"1,4:3,6-Dianhydro-2-O-(3-carbamimidoylphenyl)-5-O-(4-carbamimidoylphenyl)-D-glucitol",,
DB04794,Bifonazole,"(+-)-1-(p,alpha-Diphenylbenzyl)imidazole | 1-((4-Biphenylyl)phenylmethyl)-1H-imidazole | 1-(alpha-(4-Biphenylyl)benzyl)imidazole | 1-(p,alpha-Diphenylbenzyl)imidazole | 1-[biphenyl-4-yl(phenyl)methyl]imidazole | Bifonazol | Bifonazole | Bifonazolum",Bifonazole,,
DB04795,Thenoyltrifluoroacetone,"1-Thenoyl-3,3,3-trifluoroacetone | 1,1,1-Trifluoro-3-(2-thenoyl)acetone | 2-Thenoyltrifluoroacetone | alpha-Thenoyltrifluoroacetone | Perfluoroacetyl(2-thenoyl)methane",Thenoyltrifluoroacetone,,
DB04796,Inecalcitol,"(7E)-19-Nor-9,10-seco-14beta-cholesta-5,7-dien-23-yne-1alpha,3beta,25-triol | Inecalcitol",Inecalcitol,,
DB04797,Triazolopyridine,,Triazolopyridine,,
DB04798,THIO-ATPA,,THIO-ATPA,,
DB04799,"6-Hydroxy-5-undecyl-4,7-benzothiazoledione","5-n-undecyl-6-hydroxy-4,7-dioxobenzothiazole | 6-hydroxy-5-undecyl-1,3-benzothiazole-4,7-dione | 6-Hydroxy-5-undecyl-4,7-benzothiazoledione | UHDBT","6-Hydroxy-5-undecyl-4,7-benzothiazoledione",,
DB04800,1-METHYL-3-PHENYL-1H-PYRAZOL-5-YLSULFAMIC ACID,,1-METHYL-3-PHENYL-1H-PYRAZOL-5-YLSULFAMIC ACID,,
DB04801,cis-Vaccenic acid,(Z)-11-octadecenoic acid | (Z)-octadec-11-enoic acid | Asclepic acid | cis-11-octadecenoic acid | cis-octadec-11-enoic acid | trans-11-Octadecensäure,cis-Vaccenic acid,,
DB04802,"D-Erythro-2,3-diaminobutyric acid","(2R,3R)-2,3-Diaminobutanoic acid","D-Erythro-2,3-diaminobutyric acid",,
DB04803,Verdoheme,,Verdoheme,,
DB04804,"(2S)-2,3-Diaminobutanoic acid","(2S,3R)-2,3-Diaminobutanoic acid | L-threo-2,3-diamino-butyric acid | L-Threo-alpha,beta-diaminobutyric acid","(2S)-2,3-Diaminobutanoic acid",,
DB04805,Virginiamycin S1,Staphylomycin S | Staphylomycin S1 | Virginiamycin factor S | Virginiamycin factor S1,Virginiamycin S1,,
DB04806,(5-BROMO-4-CHLORO-3-INDOLYL)-A-D-MANNOSE,,(5-BROMO-4-CHLORO-3-INDOLYL)-A-D-MANNOSE,,
DB04807,4-NITROPHENYL-(6-S-ALPHA-D-XYLOPYRANOSYL)-BETA-D-GLUCOPYRANOSIDE,,4-NITROPHENYL-(6-S-ALPHA-D-XYLOPYRANOSYL)-BETA-D-GLUCOPYRANOSIDE,,
DB04808,Neamine,"2-desoxy-4-O-(2,6-diamino-2,6-didesoxy-α-D-glucopyranosyl)-D-streptamin | 4-O-(2,6-diamino-2,6-dideoxy-α-D-glucopyranosyl)-2-deoxy-D-streptamine | Dekamycin V | Nebramycin X | Negamicin | Neomycin A",Neamine,,
DB04809,SALOPHEN-10-PROPIONATE IRON CHELATE,,SALOPHEN-10-PROPIONATE IRON CHELATE,,
DB04810,Salophen-10-carboxylate iron chelate,,Salophen-10-carboxylate iron chelate,,
DB04811,Salophen iron chelate,,Salophen iron chelate,,
DB04812,Benoxaprofen,(±)-benoxaprofen | (1)-2-(4-Chlorophenyl)benzoxazole-5-propionic acid | 2-(4-Chlorophenyl)-alpha-methyl-5-benzoxazoleacetic acid | 2-(4-chlorophenyl)-α-methyl-5-benzoxazoleacetic acid | 2-(p-chlorophenyl)-α-methyl-5-benzoxazoleacetic acid | Benoxaprofen | Benoxaprofene | Benoxaprofeno | Benoxaprofenum | DL-benoxaprofen,Benoxaprofen,,
DB04813,Bithionol,"2-Hydroxy-3,5-dichlorophenyl sulfide | 2-Hydroxy-3,5-dichlorophenyl sulphide | 2,2'-Dihydroxy-3,3',5,5'-tetrachlorodiphenyl sulfide | 2,2'-Dihydroxy-3,3',5,5'-tetrachlorodiphenylsulfide | 2,2'-sulfanediylbis(4,6-dichlorophenol) | 2,2'-Thiobis(4,6-dichlorophenol) | Bis(3,5-dichloro-2-hydroxyphenyl) sulfide | Bithionol | Bithionol sulfide | Bithionolate | Bithionolum | Bitionol",Bithionol,,
DB04814,Bunamiodyl,"2-(3-Butyramido-3,4,6-triiodophenylmethylene)butyric acid | Bunamiodilo | Bunamiodyl | Bunamiodylum",Bunamiodyl,,
DB04815,Clioquinol,5-Chlor-7-jod-8-hydroxy-chinolin | 5-Chloro-7-iodo-8-hydroxyquinoline | 5-Chloro-7-iodo-8-quinolinol | 5-chloro-7-iodoquinolin-8-ol | 5-Chloro-8-hydroxy-7-iodoquinoline | 7-Iodo-5-chloro-8-hydroxyquinoline | 7-Iodo-5-chloroxine | Chloroiodoquin | Clioquinol | Clioquinolum | Iodochlorhydroxyquin | Iodochlorhydroxyquinoline | Iodochlorohydroxyquin | Iodochloroxyquinoline,Clioquinol,,
DB04816,Dantron,"1,8-dihydroxy-9,10-anthracenedione | 1,8-dihydroxy-9,10-anthraquinone | 1,8-dihydroxyanthra-9,10-quinone | 1,8-Dihydroxyanthrachinon | 1,8-Dihydroxyanthraquinone | Chrysazin | Danthron | Dantron | Dantrona | Dantrone | Dantronum",Dantron,,
DB04817,Metamizole,Dipyrone | Metamizol,Metamizole,,
DB04818,Iproniazid,Iproniazid | Iproniazida | Iproniazide | Iproniazidum,Iproniazid,,
